1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
372	-0.585874	136.714062	8.386430	0.015091	1.9
373	-0.592739	136.207112	8.413474	0.012088	0.9
374	-0.576689	137.207112	8.360294	0.008942	1.3
375	-0.540377	136.700288	8.387162	0.013224	1.4
376	-0.587182	136.193376	8.414209	0.019595	1.1
377	-0.568488	135.686427	8.441433	0.018297	4.8
378	-0.605971	136.686427	8.387900	0.014236	2.3
379	-0.602031	137.676665	8.335554	0.022771	2.1
380	-0.566710	138.676665	8.283351	0.014917	2.1
381	-0.594633	139.676665	8.231798	0.022841	2.0
382	-0.570364	140.676665	8.180883	0.024414	2.4
383	-0.574477	141.676665	8.130594	0.013309	1.3
384	-0.581249	142.676665	8.080919	0.013102	1.1
385	-0.550112	143.663467	8.032492	0.015845	2.0
386	-0.575333	143.219429	8.054211	0.016222	1.5
387	-0.585084	142.712479	8.079151	0.013713	2.0
388	-0.550452	143.712479	8.030101	0.013129	1.6
389	-0.560726	143.205530	8.054893	0.009722	1.1
390	-0.569255	144.205530	8.006136	0.017709	1.4
391	-0.568235	144.383370	7.997527	0.010877	1.1
392	-0.575963	143.876429	8.022116	0.011551	1.7
393	-0.572984	144.876429	7.973754	0.011527	1.6
394	-0.589484	145.876429	7.925972	0.017079	0.9
395	-0.567647	145.369840	7.950106	0.013232	2.1
396	-0.585748	144.862891	7.974405	0.025228	0.9
397	-0.591210	144.356968	7.998804	0.010562	0.9
398	-0.571456	143.850339	8.023386	0.011490	1.0
399	-0.561105	144.850339	7.975009	0.014967	1.6
400	-0.577285	144.344028	7.999430	0.007812	0.9
401	-0.580529	145.340949	7.951487	0.023301	0.9
402	-0.597947	144.847204	7.975160	0.014157	1.7
403	-0.572583	144.510107	7.991403	0.012733	0.9
404	-0.592911	145.510106	7.943409	0.013880	1.7
405	-0.557297	146.484269	7.897207	0.019617	1.3
406	-0.570235	145.977320	7.921183	0.011712	1.0
407	-0.575728	146.977320	7.874027	0.021708	1.5
408	-0.563400	147.851035	7.833283	0.011248	1.2
409	-0.587949	147.344086	7.856872	0.013870	1.0
410	-0.594831	146.837138	7.880603	0.011402	1.3
411	-0.582498	146.340038	7.904014	0.013899	1.1
412	-0.559373	146.682480	7.887872	0.018061	0.8
413	-0.569405	146.175531	7.911791	0.023713	1.0
414	-0.556789	147.175531	7.864747	0.010242	1.2
415	-0.595932	148.175531	7.818258	0.013041	0.9
416	-0.575633	147.724358	7.839164	0.014343	1.9
